,NAME_2,Area,Population,r_u,mean,min,max,sum
0,Addis Abeba,539.2042140257659,3522013.0,U,7.034589974238862,0.30765438079833984,67.31525421142578,17952.273614257574
1,Afar Zone 1,34200.57417870107,474892.0,R,0.040897443062723034,-0.04338538274168968,9.719255447387695,6681.169888498685
2,Afar Zone 2,27669.715724069603,446374.0,R,0.045005117250548655,-0.12320879846811295,128.50315856933594,5988.110870654501
3,Afar Zone 3,16570.511269069917,260293.0,R,0.05897510674684241,-0.018719390034675598,20.363786697387695,4642.815278645168
4,Afar Zone 4,10736.391928260933,322652.0,R,0.04058780769852323,-0.019758690148591995,0.26131299138069153,2087.228010896557
5,Afar Zone 5,5400.122826781106,235930.0,R,0.0439764276679441,-0.017184631898999214,3.262709856033325,1130.1502146384955
6,Agew Awi,8958.44874922012,1259449.0,R,0.052031884431238164,-0.08247131109237671,9.933634757995605,2219.5240941833263
7,Argoba,309.39500291251983,44086.0,R,0.042772171067385435,0.006477606017142534,0.15451528131961823,63.174496666528285
8,Bahir Dar Special Zone,8.66121758406646,294110.0,U,9.401786213829403,2.514901638031006,16.589323043823242,394.87502098083496
9,Debub Gondar,14142.260935042323,2577685.0,R,0.036151956691019886,-0.06770124286413193,9.831720352172852,2443.691512529489
10,Debub Wollo,17212.301494684994,3227272.0,R,0.04976942695999809,-0.031582098454236984,13.960515022277832,4084.3280234722433
11,Mirab Gojjam,16418.702397102516,2612501.0,R,0.06927723027081426,-0.07315579056739807,18.4084415435791,5425.030625277193
12,Misraq Gojjam,14247.857863488745,2896193.0,R,0.05552853656209429,-0.06086859479546547,21.236249923706055,3766.000878177797
13,North Shewa,16172.34295368761,2363779.0,R,0.05614156029808457,-0.05278110131621361,12.90064811706543,4314.535050468097
14,Oromia,3779.3918714226957,588789.0,R,0.05413446970276772,-0.04028549790382385,4.0622758865356445,974.1497823013051
15,Semen Gondar,42929.25213380592,3745904.0,R,0.05515249036064661,-1.5,59.022186279296875,11342.109642666976
16,Semen Wello,12212.323905094949,1922219.0,R,0.03998879728815391,-0.05214150995016098,8.997779846191406,2335.4257392227646
17,Wag Himra,8933.821223823232,546043.0,R,0.023095956291013242,-0.057335108518600464,5.124842166900635,990.0774542831557
18,Asosa,14469.61658479301,497011.0,R,0.1622282687933033,-0.07232138514518738,68.13029479980469,11094.466846236426
19,Kemashi,10105.591594439356,139680.0,R,0.20277099128556256,-0.07360749691724777,46.79763412475586,9707.458436805022
20,Metekel,25774.434146618263,443068.0,R,0.20784734044305023,-0.11529769748449326,303.3830871582031,25468.366013848718
21,Dire Dawa,1055.3340596254552,455212.0,U,0.292475337982506,-0.0075837718322873116,17.244565963745117,1468.5186720101628
22,Agnuak,23639.345042230827,215877.0,R,0.1827299955630432,-0.09812319278717041,246.07090759277344,20274.989387693022
23,Majang,2340.8997246256176,95771.0,R,0.04446866819178976,-0.0585850290954113,3.0914928913116455,488.8885381005366
24,Nuer,4828.128945517277,179631.0,R,0.21052251612150955,-0.03428160771727562,29.34322166442871,4764.335062345883
25,Hareri,371.59555711725625,246540.0,U,0.36401078222407374,0.02095392718911171,16.112194061279297,640.2949659321457
26,Arsi,20963.133459631994,3610198.0,R,0.07564677679251194,0.002393165370449424,54.933876037597656,7495.460878486047
