,NAME_2,Area,Population,r_u,mean,min,max,sum
0,805,174.2042120947217,16354.0,R,0.03113694326692954,-0.011666514910757542,0.3851640522480011,25.345471819280647
1,Baringo Central,662.8196647025657,103681.0,U,0.027177736464705365,-0.0878223404288292,1.3953280448913574,84.22380530412192
2,Baringo North,1636.7566113893106,109783.0,R,0.019777168632382033,-0.09840213507413864,0.23914234340190887,151.05801401413396
3,Baringo South,1888.5697874188936,99984.0,R,0.010408567646225412,-0.12057334929704666,1.0502281188964844,91.81397520735436
4,Eldama Ravine,907.9282516352453,112435.0,U,0.04722172113482926,-0.06811204552650452,1.8874971866607666,199.7951021214626
5,Mogotio,1159.4896594824108,50680.0,R,0.018328284194652184,-0.08072540163993835,0.17183411121368408,99.22933062984691
6,Tiaty,4435.169033924433,157980.0,R,0.008839585706132384,-0.09420358389616013,2.459685802459717,183.10317831682622
7,Bomet Central,244.067715634345,140556.0,R,0.050443897769159966,-0.024859143421053886,0.933627724647522,57.30426786576572
8,Bomet East,319.16050692717386,158442.0,R,0.02724302865068185,-0.042434126138687134,2.9544663429260254,40.5376266322146
9,Chepalungu,545.9478920747007,204464.0,R,0.023955296230904904,-0.05000625178217888,1.236137866973877,60.966228907652976
10,Konoin,790.7253240801755,171823.0,R,0.05566468663076469,-0.026710214093327522,2.0409095287323,205.62535241404476
11,Sotik,486.69424285038764,220907.0,R,0.06994693219967422,-0.04051325097680092,1.8351868391036987,158.63964222886113
12,Bumula,347.44502821892445,210124.0,R,0.047823538848602444,-0.04321322962641716,0.2706339657306671,77.28283877934155
13,Kabuchai,235.02430818966687,172547.0,R,0.0578126596778306,-0.03395881503820419,0.6300838589668274,63.24704968754668
14,Kanduyi,320.7517037893359,281842.0,R,0.2270635551421617,-0.06252552568912506,8.205421447753906,338.32469716182095
15,Kimilili,178.35044495596,159110.0,U,0.09062521409707186,-0.035656578838825226,1.5399341583251953,75.30955291466671
16,Likuyani,302.62826205012686,130421.0,R,0.04623272955316249,-0.045067477971315384,0.66216641664505,64.9569850221933
17,Lugari,267.321763887601,100265.0,R,0.06800869906730314,-0.027400923892855644,5.898087024688721,84.80684773692701
18,Mt. Elgon,951.362914831497,179573.0,R,0.017543191271718377,-0.048407990485429764,0.9218683838844299,77.68125095116898
19,Sirisia,208.93422090635923,100852.0,R,0.040319877652717315,-0.040506262332201004,0.3167656660079956,39.150601200788515
20,Tongaren,376.99944125211056,217365.0,R,0.046419770984456675,-0.03265267610549927,0.39309823513031006,81.69879693264375
21,Webute West,235.13188973786723,104542.0,U,0.07865373485072957,-0.025501621887087822,1.3970750570297241,86.04718592669815
22,Webuye East,166.68336071451773,147402.0,R,0.1780093888139896,-0.008791270665824413,5.387144565582275,138.3132951084699
23,Budalangi,311.9171193924091,74284.0,R,0.07442181111879421,-0.0874020904302597,0.7500556707382202,107.91162612225162
24,Butula,245.21444041580307,124273.0,R,0.06426024257188143,-0.020126057788729668,0.9117482900619507,73.57797774480423
25,Funyula,271.44175763426216,102559.0,R,0.06516117208811459,-0.07287938892841339,0.8884500861167908,82.16823800311249
26,Matayos,196.18674896448124,148094.0,U,0.1522601555787697,-0.0799829363822937,3.650514602661133,139.01352204341674
27,Nambale,234.95705856078283,109731.0,R,0.05337578172700907,-0.023437650874257088,0.5681288242340088,58.01947473725886
28,Teso North,250.4161066505279,129353.0,R,0.09886324750895947,-0.06265489757061005,3.7075343132019043,115.76886283299154
29,Teso South,300.74818914122915,132558.0,R,0.0705480882897063,-0.01654953882098198,1.5961207151412964,98.6967755172991
30,Keiyo North,543.7974877268972,89819.0,U,0.03462804098079971,-0.08912966400384903,1.2342615127563477,88.12836429613526
31,Keiyo South,888.9241209690558,135537.0,R,0.027038443487442596,-0.07885903120040894,1.815885066986084,112.26361735986166
32,Marakwet East,817.7214243232895,103438.0,R,0.030310858344124364,-0.15594202280044556,1.694582223892212,115.8177897328992
33,Marakwet West,561.6446580924037,97467.0,R,0.036642686244102995,-0.09797795861959457,1.668315052986145,96.00383795954986
34,Manyatta,400.89400551698026,203406.0,R,0.12832557261297237,-0.04456959292292595,2.940756320953369,240.73877422193618
35,Mbeere North,770.2932938478053,100079.0,R,0.03897024311607948,-0.05605095252394676,1.7716680765151978,140.3708157041183
36,Mbeere South,1323.0686327296917,141279.0,R,0.1002097915622122,-0.042348992079496384,46.28818893432617,620.6994489363424
37,Runyenjes,338.78226909550807,129064.0,R,0.07232741393521955,-1.5,0.7556315660476685,114.56662367338777
38,Balambala,4226.372650850859,87672.0,R,0.010551760802996057,-0.054731857031583786,0.09412434697151184,208.82989805209496
39,Daadab,7522.288457258161,250197.0,R,0.010622170500268958,-0.0799809917807579,7.551039695739746,374.09160067847216
40,Fafi,16634.901016982552,203464.0,R,0.016204879938791574,-0.044418297708034515,4.261758327484131,1261.3392397957198
41,Garissa Township,599.96357735655,191652.0,U,0.08746957580568153,-0.033835284411907196,6.593674659729004,245.52709928654804
42,Ijara,8407.387646353262,117271.0,R,0.032874775268958545,-0.04909881576895714,0.9931516051292419,1293.6552816087876
43,Lagdera,6449.324546866341,123669.0,R,0.002324887722443225,-0.17665989696979523,2.744645118713379,70.24880742134448
44,Homa Bay Town,270.51321130434434,102848.0,U,0.0691901192474533,-0.11424697935581207,3.561420202255249,86.69521941705898
45,Kabondo Kasipul,247.968757865615,142871.0,R,0.028554379320245363,-0.06256496161222458,1.3820492029190063,33.00886249420364
46,Karachuonyo,626.9315955840196,149408.0,U,0.04389950282706142,-0.09127706289291382,5.011238098144531,127.52805571261342
47,Kasipul,259.42600389112454,121070.0,R,0.036290544240099185,-0.05377933010458946,1.9262458086013794,43.65752472083932
48,Mbita,1034.4795046046797,118755.0,R,0.02477712813852523,-0.1322169303894043,1.2208739519119263,118.60811239912027
49,Ndhiwa,700.0304591089345,190069.0,R,0.012871786859929818,-0.08736896514892578,5.856775760650635,41.949153376511276
50,Rangwe,292.2298694280675,116659.0,R,0.011448660203754426,-0.11440853029489517,0.6605285406112671,15.719010459754827
51,Suba,1149.9917571025665,117317.0,R,0.008312725974748565,-0.10533954948186874,0.961894154548645,44.58114940257656
52,unknown 6,124.6340358982494,24812.0,R,0.03018823498383559,-0.04247564822435379,0.13527444005012512,17.780870405479163
53,Isiolo North,15352.511171715656,121276.0,U,0.012581550704618898,-0.11990246176719666,4.514096736907959,904.7141480677358
54,Isiolo South,10070.14451005184,78300.0,R,0.010645971738204809,-0.14201843738555908,8.080501556396484,502.01079731504774
55,Kajiado Central,4317.412216751345,131632.0,R,0.037813681032400556,-0.036168016493320465,4.187107563018799,763.8363568544912
56,Kajiado East,3269.432754057425,148025.0,U,0.07984159541935407,-0.03398940712213516,11.9442720413208,1221.975617893214
57,Kajiado North,112.43826555157602,248219.0,U,0.9964712766070779,0.11014096438884735,5.2691755294799805,518.1650638356805
58,Kajiado South,6357.202635579455,170093.0,R,0.027939120858681506,-0.03346856310963631,1.4049522876739502,831.9711409298179
59,Kajiado West,7950.716601193946,139089.0,R,0.021667148498387266,-0.11753889918327332,10.29178524017334,805.5629140215401
60,Butere,210.38745483345357,150979.0,R,0.0630617761886029,-0.046290721744298935,1.8330039978027344,61.35910823151062
61,Ikolomani,144.5673785334446,121748.0,R,0.1042048870714827,-0.010822114534676075,0.5913059115409851,70.54670854739379
