,NAME_2,Area,Population,r_u,mean,min,max,sum
0,Berseba,31788.577271664584,12329.0,R,-0.009844313692488556,-0.055422116070985794,90.30962371826172,-1629.6375329682483
1,Karas,38295.29457607992,17621.0,R,0.002394338320539009,-0.04839329794049263,16.72579574584961,483.79760670979164
2,Keetmanshoop Rural,38039.212495008716,8599.0,R,-0.0007546778438702849,-0.07797383517026901,79.49187469482422,-149.28282429598104
3,Keetmanshoop Urban,524.8348824275537,22338.0,U,0.29706226018588033,-0.04315558820962906,22.223804473876953,811.5740948278251
4,Luderitz,48504.210796935884,14752.0,U,0.007634201767290075,-0.05690254643559456,29.040395736694336,1935.1174639726883
5,Oranjemund,4248.631646737274,11878.0,U,0.0856175102059734,-0.05945362150669098,74.38420104980469,1923.4829842873983
6,Arandis,13512.661295426351,12409.0,U,0.05381633545070831,-0.06011345237493515,94.94483947753906,3674.5793845743633
7,Daures,17757.753687334054,12742.0,R,-0.013642785089022167,-0.07355260848999023,4.511468410491943,-1215.7358648529435
8,Karibib,14528.773790946772,15681.0,U,-0.0048441988439833945,-0.06678801774978638,48.973899841308594,-355.5545067506932
9,Omaruru,8421.33326349505,9774.0,U,-0.012962284089070235,-0.07178961485624313,32.57898712158203,-547.6953896154846
10,Swakopmund,196.5951713633185,60377.0,U,2.0391327635183853,0.014899762347340584,27.805866241455078,2028.9370997007936
11,Walvisbay Rural,9131.703487778299,11847.0,U,0.03268002158190856,-0.06463640928268433,44.81765365600586,1517.5621621990879
12,Walvisbay Urban,20.887305661093887,67166.0,U,25.695865258992274,2.645505428314209,60.02698516845703,2749.4575827121735
13,Gibeon,50445.7757946228,13505.0,R,-0.012432007735936832,-0.06639396399259567,29.86603355407715,-3223.4082617969098
14,Mariental Rural,41919.686370277486,18734.0,R,-0.009678744941400776,-0.06254599988460541,6.739517688751221,-2074.309900861249
15,Mariental Urban,5921.539093984428,16903.0,U,-0.0036004293697997273,-0.06685856729745865,16.455509185791016,-109.28023223216132
16,Rehoboth East,282.8124265601544,22730.0,U,0.3006179216591959,-0.04202774539589882,17.99596405029297,434.392896797538
17,Rehoboth Rural,10935.402823244887,7862.0,R,-0.017503675200501067,-0.06301401555538177,6.497603416442871,-976.5300394359546
18,Rehoboth West,326.1235097330488,13025.0,U,0.18218873831738186,-0.0447787344455719,13.96827220916748,302.79768308348866
19,Kahenge,8808.193608055797,32724.0,R,-0.0027922154648826426,-0.08086206018924713,16.339637756347656,-120.66000688397364
20,Kapako,6181.782301272926,29588.0,R,-0.020221689781951404,-0.10319340974092484,6.911916732788086,-613.7282848822251
21,Mashare,9350.738723900962,18459.0,R,0.013719790714083885,-0.0962579995393753,17.615009307861328,630.1637072885869
22,Mpungu,8142.0763182428955,21695.0,R,0.003921090811787112,-0.1020042672753334,41.43128204345703,157.00439719476776
23,Mukwe,5585.860634768377,30404.0,R,-0.0009986740727378019,-0.07770320028066635,8.876993179321289,-27.108009030394896
24,Ndiyona,8204.240896014719,24161.0,R,0.07628462897985089,-0.09127344191074371,61.528038024902344,3062.065007251215
25,Rundu Rural East,582.7709068844255,27581.0,U,0.06754865401631756,-0.082323357462883,14.587015151977539,189.47397451577075
26,Rundu Rural West,2097.034203889035,43227.0,U,0.025884374384235135,-0.08617561310529709,13.339094161987305,264.6936124531885
27,Rundu Urban,15.539202497748867,25706.0,U,6.63251869864278,0.15736940503120422,27.217870712280273,510.7039397954941
28,Katutura Central,2.026389437383075,28004.0,U,29.474161783854168,23.152189254760742,34.16117858886719,265.2674560546875
29,Katutura East,2.501110855946285,22073.0,U,26.68983092674842,20.984487533569336,34.216182708740234,346.9678020477295
30,Khomasdal North,25.957030108186395,49862.0,U,12.629010923432581,0.3519255220890045,30.45878028869629,1667.0294418931007
31,Moses Garoeb,33.654550268440225,58206.0,U,2.8315745342021796,0.13049036264419556,27.63593101501465,484.19924534857273
32,Soweto,1.882700526272974,18699.0,U,28.93202048081618,24.001678466796875,37.383663177490234,376.11626625061035
33,Tobias Hainyeko,19.803973390606487,60792.0,U,8.759986031838137,0.4428628385066986,39.939605712890625,867.2386171519756
34,Wanaheda,19.224197060877238,67892.0,U,8.880410561219175,0.3242742419242859,33.33708190917969,834.7585927546024
35,Windhoek East,167.1631069525552,25746.0,U,4.437236895463286,0.06777416169643402,79.16064453125,3753.90241356194
36,Windhoek Rural,36613.81363515999,28435.0,U,-0.004647156308780759,-0.07915488630533218,51.920387268066406,-862.2659116253435
37,Windhoek West,208.61114459038964,64145.0,U,4.2541793375381864,0.01158794667571783,61.822662353515625,4492.4133804403245
38,Epupa,23481.577665250563,25726.0,R,-0.015745920274214287,-0.0751550942659378,3.5448524951934814,-1813.583605343453
39,Kamanjab,17104.037166731196,10292.0,R,-0.034068999807202974,-0.08649525046348572,11.255337715148926,-2895.4561556145663
40,Khorixas,21289.176235176154,15415.0,R,-0.020986760281390817,-0.07181308418512344,12.63222885131836,-2228.814928643986
41,Opuwo,25780.74666285186,30779.0,R,-0.017902006395171848,-0.0753108561038971,11.67026138305664,-2274.0381663594944
42,Outjo,7464.249853578277,15269.0,U,-0.024859600309204075,-0.08796785771846771,18.922916412353516,-921.7194006643595
43,Sesfontein,20196.451138319808,9625.0,R,-0.02006865088990913,-0.07276631891727448,1.961449384689331,-2007.6678350265092
44,Eenhana,1116.5773407971092,24344.0,R,0.047209646817976604,-0.06516654789447784,16.408405303955078,258.28397774115
45,Endola,327.5157411145116,28277.0,R,0.07443413713467288,-0.024981088936328888,3.058924913406372,119.24348768974596
46,Engela,294.97928317179344,27731.0,R,0.16989950318118102,-0.01441557239741087,12.317811965942383,245.5047820968066
47,Epembe,1810.151124207929,18599.0,R,-0.017673317676032616,-0.06964828073978424,2.959139108657837,-156.88604101014153
48,Ohangwena,170.24707497179887,19031.0,R,0.1830671025446176,-0.015858568251132965,7.987133979797363,152.49489641966647
49,Okongo,4654.804210849031,30126.0,R,-0.023009903795328045,-0.12028969824314117,4.405750751495361,-524.5107570145028
50,Omulonga,596.5959881693268,36170.0,R,0.010506486260056302,-0.054432351142168045,0.6330069899559021,30.762991769444852
51,Omundaungilo,615.8783001714103,8802.0,R,-0.020168415647008008,-0.08446511626243591,1.3939672708511353,-61.47333089208041
52,Ondobe,485.71648835196845,25723.0,R,0.031767035165483314,-0.061801619827747345,6.598883152008057,75.73261183451223
